from	to
1552412_a_at	DEFB106B
1552414_at	WFDC9
1552415_a_at	WFDC9
1552417_a_at	NEDD1
1552418_at	TTLL10
1552419_s_at	TTLL10
1552421_a_at	CALR3
1552422_at	C10orf25
1552423_at	ETV3
1552424_at	KLHL10
1552425_a_at	KLHL10
1552426_a_at	TM2D3
1552427_at	ZNF485
1552430_at	WDR17
1552432_at	MFSD6L
1552436_a_at	CDH23
1552436_a_at	LOC100653137
1552438_a_at	ANKAR
1552439_s_at	MEGF11
1552440_at	GPR182
1552445_a_at	ESX1
1552448_a_at	C8orf12
1552449_a_at	LOC653486
1552449_a_at	SCGB1C1
1552450_a_at	DNAJC5G
1552452_at	WDR88
1552453_a_at	WDR88
1552455_at	PRUNE2
1552456_a_at	MBD3L2
1552457_a_at	ADAMTSL1
1552458_at	MBD3L1
1552459_a_at	MBD3L1
1552461_at	FAM46D
1552463_at	SERPINB11
1552466_x_at	LINC00161
1552467_at	DSCR10
1552468_a_at	DSCR10
1552470_a_at	ABHD11
1552472_a_at	ACAP2
1552473_at	GAMT
1552474_a_at	GAMT
1552476_s_at	PLCD3
1552477_a_at	IRF6
1552478_a_at	IRF6
1552480_s_at	PTPRC
1552481_s_at	MAN1A2
1552482_at	RAPH1
1552484_at	SMCR8
1552485_at	LACTB
1552486_s_at	LACTB
1552487_a_at	BNC1
1552489_s_at	MPP4
1552490_at	LACE1
1552491_at	IDI2
1552493_s_at	CYP11B1
1552494_at	TAF8
1552496_a_at	COBL
1552497_a_at	SLAMF6
1552498_at	ZSCAN20
1552499_a_at	ZSCAN20
1552501_a_at	GPBAR1
1552502_s_at	RHBDL2
1552503_at	FRAS1
1552504_a_at	BRSK1
1552506_at	CRB2
1552507_at	KCNE4
1552508_at	KCNE4
1552509_a_at	CD300LG
1552510_at	SLC34A3
1552511_a_at	CPA6
1552514_at	WBP2NL
1552515_at	HIPK1
1552516_a_at	HIPK1
1552518_s_at	MTBP
1552519_at	ACVR1C
1552520_at	TMEM74
1552521_a_at	TMEM74
1552522_at	TIGD4
1552523_a_at	TIGD4
1552524_at	ART5
1552526_at	FAM71C
1552528_at	C21orf67
1552531_a_at	NLRP11
1552532_a_at	ATP6V1C2
1552535_at	CLDN19
1552536_at	VTI1A
1552538_a_at	KIF6
1552540_s_at	IQCD
1552541_at	TAGAP
1552542_s_at	TAGAP
1552543_a_at	STON2
1552544_at	SERPINA12
1552546_a_at	LETM2
1552548_at	BSND
1552549_a_at	BSND
1552552_s_at	CLEC4C
1552553_a_at	NLRC4
1552554_a_at	NLRC4
1552555_at	PRSS36
1552557_a_at	ZDHHC15
1552558_a_at	RAI1
1552559_a_at	CDK15
1552562_at	ZNF570
1552563_a_at	AF131215.4
1552564_at	NUDT9P1
1552566_at	BTBD16
1552568_at	RTP3
1552569_a_at	RTP3
1552570_at	TSPEAR
1552572_a_at	MIPOL1
1552573_s_at	MIPOL1
1552575_a_at	C6orf141
1552576_at	ALMS1P
1552578_a_at	MYO3B
1552579_a_at	ADAM21
1552580_at	TRIML2
1552582_at	ABCC13
1552583_s_at	ABCC13
1552584_at	IL12RB1
1552585_s_at	GTF2A1L
1552586_at	TRPV3
1552587_at	CNBD1
1552588_a_at	CNBD1
1552590_a_at	ABCC12
1552592_at	MMP21
1552594_at	TMEM190
1552596_at	GAS2L2
1552598_at	KCNG4
1552599_at	PXT1
1552602_at	CACNG5
1552604_at	LINC00308
1552605_s_at	LINC00308
1552607_at	FAM223A
1552607_at	FAM223B
1552608_at	WFDC11
1552609_s_at	IFNL2
1552609_s_at	IFNL3
1552610_a_at	JAK1
1552611_a_at	JAK1
1552612_at	CDC42SE2
1552613_s_at	CDC42SE2
1552615_at	ACACB
1552616_a_at	ACACB
1552617_a_at	RFWD2
1552618_at	STX6
1552619_a_at	ANLN
1552620_at	SPRR4
1552621_at	POLR2J
1552621_at	POLR2J2
1552621_at	POLR2J3
1552621_at	UPK3BL
1552622_s_at	LOC441259
1552622_s_at	POLR2J
1552622_s_at	POLR2J2
1552622_s_at	POLR2J3
1552622_s_at	UPK3BL
1552623_at	HSH2D
1552625_a_at	TRNT1
1552626_a_at	TMEM163
1552627_a_at	ARHGAP5
1552628_a_at	HERPUD2
1552629_a_at	JMJD6
1552630_a_at	SRCAP
1552631_a_at	MAP3K6
1552632_a_at	ARSG
1552633_at	ZNF101
1552634_a_at	ZNF101
1552637_at	PTPN11
1552639_at	KLHDC7B
1552641_s_at	ATAD3A
1552641_s_at	ATAD3B
1552643_at	ZNF626
1552644_a_at	PHC3
1552646_at	IL11RA
1552648_a_at	TNFRSF10A
1552649_a_at	RAD51L3-RFFL
1552649_a_at	RFFL
1552651_a_at	RAD51L3-RFFL
1552651_a_at	RFFL
1552652_at	HPS4
1552656_s_at	UHMK1
1552657_a_at	TXNDC2
1552658_a_at	NAV3
1552660_a_at	C5orf22
1552661_at	PCDHGB7
1552662_a_at	PCDHGB7
1552663_a_at	ERC1
1552664_at	FLCN
1552665_at	JMJD1C-AS1
1552666_a_at	LRRC7
1552667_a_at	SH2D3C
1552669_at	PPP1R3B
1552670_a_at	PPP1R3B
1552671_a_at	SLC9A7
1552672_a_at	IGSF3
1552673_at	RFX6
1552674_at	DIRC1
1552675_at	DNAJB7
1552676_at	UCN3
1552677_a_at	DIP2A
1552678_a_at	USP28
1552680_a_at	CASC5
1552682_a_at	CASC5
1552684_a_at	SENP8
1552685_a_at	GRHL1
1552686_at	CNBD2
1552687_a_at	CNBD2
1552689_at	CASKIN1
1552690_a_at	CACNA2D4
1552691_at	ARL11
1552693_at	ARL11
1552694_at	SLC2A13
1552695_a_at	SLC2A13
1552696_at	NIPA1
1552698_at	TUBA3FP
1552701_a_at	CARD16
1552703_s_at	CARD16
1552703_s_at	CASP1
1552705_at	DUSP19
1552708_a_at	DUSP19
1552711_a_at	CYB5D1
1552712_a_at	NMNAT2
1552713_a_at	SLC4A1
1552714_at	CREG2
1552715_a_at	RXFP1
1552716_at	SPEF2
1552717_s_at	CEP170
1552717_s_at	CEP170P1
1552718_at	DTD1
1552719_at	CASC4
1552721_a_at	FGF1
1552722_at	ARPP21
1552724_at	RHOXF1
1552725_s_at	ADAMTS17
1552726_at	ADAMTS17
1552727_s_at	ADAMTS17
1552729_at	SNHG7
1552729_at	SNORA17
1552729_at	SNORA43
1552730_at	DHH
1552731_at	ABRA
1552732_at	ABRA
1552733_at	KLHDC1
1552734_at	RICTOR
1552735_at	PCDHGA4
1552736_a_at	NETO1
1552737_s_at	WWP2
1552738_a_at	ST7L
1552739_s_at	ST7L
1552740_at	C2orf15
1552742_at	KCNH8
1552743_at	MCF2L
1552745_at	SLCO6A1
1552747_a_at	PP2D1
1552749_a_at	KLC3
1552750_at	CIB3
1552751_a_at	CIB3
1552752_a_at	CADM2
1552754_a_at	CADM2
1552755_at	C9orf66
1552757_s_at	C9orf66
1552758_at	HDAC9
1552760_at	HDAC9
1552761_at	SLC16A11
1552763_at	TMEM67
1552765_x_at	TMEM67
1552766_at	HS6ST2
1552767_a_at	HS6ST2
1552768_at	CAMKK1
1552769_at	ZNF625
1552770_s_at	ZNF563
1552771_a_at	LIN9
1552772_at	CLEC4D
1552773_at	CLEC4D
1552774_a_at	SLC25A27
1552775_at	GPRC6A
1552777_a_at	RAET1E
1552779_a_at	SLC44A5
1552782_at	SLC44A5
1552783_at	ZNF417
1552785_at	ZNF781
1552787_at	HELB
1552788_a_at	HELB
1552789_at	SEC62
1552790_a_at	SEC62
1552791_a_at	TRDN
1552792_at	SOCS4
1552793_at	C8orf31
1552794_a_at	ZNF547
1552796_a_at	SIM1
1552797_s_at	PROM2
1552798_a_at	TLR4
1552799_at	TSNARE1
1552800_at	ABHD11
1552801_at	CAPN13
1552803_a_at	STMN1
1552804_a_at	TIRAP
1552806_a_at	SIGLEC10
1552807_a_at	SIGLEC10
1552808_at	ADAMTSL1
1552809_at	RFX4
1552811_at	WFIKKN1
1552812_a_at	SENP1
1552813_at	KLF14
1552814_a_at	KLF14
1552816_at	NXNL2
1552818_a_at	BRS3
1552819_at	LINC00205
1552819_at	LOC102723489
1552819_at	LOC102725097
1552822_at	TMX3
1552825_at	ZNF396
1552826_at	SLC26A7
1552827_s_at	SLC26A7
1552828_at	SNX18
1552830_at	FBXO39
1552833_at	B3GNT6
1552834_at	B3GNT6
1552835_at	DENND1B
1552836_at	ZNF619
1552837_at	ICK
1552839_at	FAM71D
1552841_s_at	BCL2L14
1552842_at	HS6ST3
1552843_at	SLC26A1
1552845_at	CLDN15
1552846_s_at	RAB42
1552848_a_at	PTCHD1
1552849_at	M1AP
1552851_at	ZSCAN4
1552852_a_at	ZSCAN4
1552853_at	VWA5B1
1552854_a_at	VWA5B1
1552856_at	LINC00311
1552857_a_at	HTR6
1552858_at	MAGEB6
1552860_at	LOC101060464
1552860_at	LOC101929858
1552860_at	LOC101930165
1552860_at	LOC101930171
1552860_at	TCEB3C
1552860_at	TCEB3CL
1552860_at	TCEB3CL2
1552862_at	RUSC1-AS1
1552863_a_at	CACNG6
1552865_a_at	LMNTD1
1552868_at	CIRBP-AS1
1552870_s_at	AXDND1
1552872_at	ASMTL-AS1
1552873_s_at	ASMTL-AS1
1552875_a_at	CD200R1
1552876_at	LINC00334
1552877_s_at	LINC00334
1552878_at	ATOH7
1552879_a_at	ATOH7
1552880_at	SEC16B
1552882_a_at	AMER1
1552884_at	NKX6-3
1552885_a_at	NKX6-3
1552887_at	TBATA
1552889_a_at	EXOC3L2
1552890_a_at	CABP4
1552892_at	TNFRSF13C
1552893_at	CAMK2N2
1552895_a_at	ANKRD30BP2
1552897_a_at	KCNG3
1552898_a_at	KCNG3
1552899_at	LINC01312
1552900_a_at	LINC01312
1552902_a_at	FOXP2
1552903_at	B4GALNT2
1552904_at	NETO1
1552906_at	FMR1NB
1552908_at	GCSAML
1552910_at	SIGLEC11
1552911_at	SIGLEC11
1552912_a_at	IL23R
1552913_at	MAGEB18
1552914_a_at	CD276
1552915_at	IFNL2
1552917_at	IFNL1
1552919_at	C4orf36
1552921_a_at	FIGNL1
1552922_at	RIMS1
1552923_a_at	PITPNM2
1552924_a_at	PITPNM2
1552925_at	PCDH10
1552927_at	TAB3
1552928_s_at	TAB3
1552929_at	GRK7
1552930_at	MMEL1
1552931_a_at	PDE8A
1552932_at	NLRP6
1552933_at	AKNAD1
1552935_at	ZCCHC5
1552937_s_at	ATRIP
1552937_s_at	TREX1
1552938_at	ZIC5
1552939_at	ANGPT1
1552940_at	TEDDM1
1552942_at	LOC149373
1552943_at	GABRG1
1552944_a_at	PANX2
1552946_at	ZNF114
1552947_x_at	ZNF114
1552948_at	CCDC27
1552950_at	C15orf26
1552952_at	LOC100652931
1552952_at	RBMY2FP
1552953_a_at	NEUROD2
1552954_at	C5orf17
1552955_at	LINC00208
1552957_at	DNAH6
1552960_at	LRRC15
1552964_at	TTC40
1552965_a_at	B3GNT7
1552967_at	ZNF645
1552969_a_at	ZMYM6
1552970_s_at	ZMYM6
1552971_at	SGCZ
1552972_at	LOC100507431
1552973_at	WNT9B
1552977_a_at	CNPY3
1552978_a_at	SCAMP1
1552979_at	LINC00471
1552980_at	HAS3
1552982_a_at	FGF4
1552985_at	SLC30A8
1552986_at	LOC142937
1552987_a_at	LOC439933
1552988_at	C11orf65
1552990_at	FAM71E2
1552991_at	OR5P2
1552993_at	DYDC1
1552995_at	IL27
1552997_a_at	IQCF1
1552998_at	DEFB125
1552999_a_at	WFDC10B
1553002_at	DEFB105A
1553002_at	DEFB105B
1553003_at	PKHD1
1553004_at	PKD1L1
1553006_at	GPR112
1553007_a_at	TENM1
1553009_s_at	REXO1L1P
1553011_at	TAF1L
1553013_at	CNTNAP5
1553015_a_at	RECQL4
1553016_at	GPR113
1553019_at	TMC2
1553020_at	SMCR5
1553021_s_at	BICD2
1553022_at	ZIM3
1553023_a_at	NOX5
1553024_at	DAOA-AS1
1553025_at	GPR126
1553027_a_at	KLHL4
1553028_at	GPR156
1553030_a_at	SUOX
1553031_at	GPR115
1553032_at	IL31RA
1553033_at	SYTL5
1553034_at	SDCCAG8
1553036_at	GPR111
1553037_a_at	SYN2
1553039_a_at	ASB10
1553041_at	HTR3C
1553042_a_at	NFKBID
1553043_a_at	CD300LF
1553044_at	GJA10
1553045_at	WNT9A
1553046_s_at	GAL3ST2
1553047_at	PIP4K2B
1553048_a_at	PIP4K2B
1553051_s_at	ODF3
1553052_at	WFDC13
1553053_at	LINC00521
1553055_a_at	SLFN5
1553057_at	SERPINB12
1553058_at	GIPC3
1553059_at	PGLYRP3
1553060_at	PSKH2
1553061_at	OR6W1P
1553062_at	MOGAT1
1553063_at	GPR78
1553064_at	H1FOO
1553066_at	TAAR9
1553067_a_at	GNRHR2
1553070_a_at	MYOZ3
1553071_a_at	MYOZ3
1553072_at	BNIPL
1553074_at	ASB11
1553075_a_at	OFCC1
1553076_at	OFCC1
1553077_at	SDR9C7
1553078_at	OR5P3
1553079_at	TRIM40
1553080_at	CSN1S2AP
1553081_at	WFDC12
1553082_at	CRYGN
1553084_at	STARD6
1553086_at	C11orf40
1553087_at	C18orf12
1553088_a_at	BCL2L11
1553089_a_at	WFDC2
1553093_a_at	DEFB119
1553094_at	FLJ45513
1553094_at	TAC4
1553096_s_at	BCL2L11
1553099_at	TIGD1
1553101_a_at	ALKBH5
1553102_a_at	CCDC69
1553103_at	NFX1
1553105_s_at	DSG2
1553106_at	C5orf24
1553107_s_at	C5orf24
1553108_at	C5orf24
1553111_a_at	KBTBD6
1553112_s_at	CDK8
1553113_s_at	CDK8
1553114_a_at	PTK6
1553115_at	NKD1
1553117_a_at	STK38
1553118_at	THEM4
1553120_at	CLSPN
1553122_s_at	RBAK
1553123_at	WDR62
1553125_x_at	WDR62
1553126_a_at	SLC39A12
1553127_a_at	RNF168
1553129_at	SVEP1
1553130_at	LOC652276
1553131_a_at	GATA4
1553132_a_at	TC2N
1553133_at	C9orf72
1553134_s_at	C9orf72
1553136_at	KCTD18
1553137_s_at	KLF11
1553138_a_at	ANKLE1
1553139_s_at	PLXNA3
1553140_at	PELO
1553141_at	LACC1
1553142_at	LACC1
1553145_at	TAPT1-AS1
1553146_at	C3orf30
1553147_at	RANBP3L
1553148_a_at	SNX13
1553150_at	KDM1B
1553151_at	ATP6V0D2
1553153_at	ATP6V0D2
1553155_x_at	ATP6V0D2
1553156_at	LHX4
1553157_at	LHX4
1553158_at	CEP19
1553159_at	DNAH11
1553162_x_at	PROSER3
1553163_at	ADPRHL1
1553165_at	SYNRG
1553166_at	CDH24
1553167_a_at	SEPSECS
1553168_at	GRIK5
1553169_at	LRRN4
1553171_x_at	LRRN4
1553172_at	ZNF777
1553174_at	JPH2
1553175_s_at	PDE5A
1553176_at	SH2D1B
1553177_at	SH2D1B
1553178_a_at	SSTR3
1553179_at	ADAMTS19
1553180_at	ADAMTS19
1553181_at	DDX31
1553183_at	UMODL1
1553185_at	RASEF
1553186_x_at	RASEF
1553188_s_at	PARD3B
1553190_s_at	PARD3B
1553191_at	DST
1553192_at	ZNF441
1553193_at	ZNF441
1553194_at	NEGR1
1553196_a_at	FCRL3
1553197_at	DCAF4L2
1553199_at	DCAF4L2
1553202_at	STOX1
1553204_at	C20orf166-AS1
1553205_at	C20orf166-AS1
1553207_at	ARL10
1553209_at	RNFT2
1553211_at	ANKFN1
1553212_at	KRT78
1553213_a_at	KRT78
1553214_a_at	CCDC7
1553215_s_at	CCDC7
1553216_at	ZNF41
1553217_s_at	ZNF41
1553218_a_at	ZNF512
1553219_a_at	AMMECR1
1553220_at	FAM117B
1553221_at	ZNF583
1553222_at	OXER1
1553224_at	LUZP1
1553225_s_at	ZNF75D
1553226_at	LINC00052
1553227_s_at	BRWD1
1553228_at	CCDC89
1553229_at	ZNF572
1553232_at	RMDN2
1553234_at	ADAMTS18
1553235_at	PCDHAC1
1553237_x_at	PCDHAC1
1553238_a_at	HIPK4
1553239_at	FAM124A
1553241_at	NKAIN3
1553243_at	ITIH5
1553244_at	FANCB
1553246_a_at	POMK
1553247_a_at	ZNF709
1553248_at	CCDC57
1553249_at	SMC1B
1553252_a_at	BRWD3
1553253_at	ASB16
1553254_at	MAGEE2
1553255_at	ERVV-1
1553257_at	GAL3ST3
1553258_at	FLJ30679
1553260_s_at	ALS2CR11
1553261_x_at	ALS2CR11
1553262_a_at	UTS2R
1553263_at	USH1G
1553264_a_at	SYN1
1553265_at	SLC23A3
1553266_at	CNOT6L
1553267_a_at	CNOT6L
1553268_at	RHBDL3
1553269_at	ZNF718
1553271_at	DIP2B
1553272_at	SLC36A1
1553274_a_at	SNRNP48
1553276_at	ZNF560
1553277_at	RTTN
1553279_at	BTNL9
1553280_at	PUS10
1553281_at	PLCXD2
1553282_at	C21orf128
1553284_s_at	LMLN
1553285_s_at	RAD9B
1553286_at	ZNF555
1553288_a_at	NYAP1
1553292_s_at	SGK494
1553293_at	MRGPRX3
1553295_at	ABCA13
1553296_at	GPR128
1553297_a_at	CSF3R
1553298_at	C17orf77
1553299_at	DUSP5P1
1553300_a_at	DGKH
1553301_a_at	TMEM182
1553303_at	C16orf46
1553304_at	LSM14B
1553306_at	CASP8
1553310_at	PLB1
1553311_at	C20orf197
1553313_s_at	SLC5A3
1553314_a_at	KIF19
1553315_at	SLFNL1
1553316_at	GPR82
1553317_s_at	GPR82
1553318_at	RIBC1
1553319_at	OXGR1
1553320_s_at	CDC14C
1553321_a_at	SULT1C4
1553322_s_at	TEAD1
1553323_a_at	CATSPER2
1553323_a_at	CATSPER2P1
1553323_a_at	LOC101930343
1553325_at	POU5F2
1553326_at	RXFP2
1553327_a_at	BEND7
1553328_a_at	SLC18A2
1553329_at	SSMEM1
1553330_at	SSMEM1
1553333_at	MAB21L3
1553335_x_at	LOC285696
1553336_a_at	MIER3
1553338_at	SDE2
1553340_s_at	SLC35G3
1553340_s_at	SLC35G4P
1553340_s_at	SLC35G5
1553341_at	UROC1
1553344_at	PCDH15
1553346_a_at	TNRC6A
1553347_s_at	KCNA6
1553348_a_at	NFX1
1553349_at	ARID2
1553350_at	AMER3
1553351_at	OTUD7A
1553352_x_at	ERVW-1
1553357_at	LINC00889
1553359_at	FBXL18
1553361_x_at	FBXL18
1553362_at	DNAH6
1553363_at	C6orf195
1553364_at	PNPLA1
1553365_at	DEPDC4
1553366_s_at	ANKRD23
1553366_s_at	ANKRD39
1553367_a_at	COX6B2
1553369_at	FAM129C
1553371_at	EPHA10
1553373_at	WDR64
1553374_at	PRO2949
1553375_at	BTBD9
1553376_a_at	AXDND1
1553378_a_at	HEATR9
1553380_at	PARP15
1553383_at	ARHGAP42
1553385_at	LINC01101
1553386_at	MFSD2A
1553387_at	ATM
1553388_at	FAM26D
1553389_at	NPHP3
1553390_at	ATG9B
1553391_at	CXorf58
1553392_at	EFCAB3
1553392_at	LOC102724660
1553394_a_at	TFAP2B
1553395_a_at	CD200R1
1553396_a_at	CCDC13
1553397_at	CCDC13
1553399_a_at	CRHR1-IT1
1553399_a_at	MGC57346
1553400_a_at	CRHR1-IT1
1553400_a_at	MGC57346
1553401_at	MRGPRX1
1553402_a_at	HFE
1553403_at	RLN3
1553405_a_at	CSMD1
1553407_at	MACF1
1553409_at	ADAMTS20
1553410_a_at	ABCC12
1553411_s_at	SALL3
1553412_at	AGBL4
1553413_at	FLJ13744
1553415_at	SLC17A8
1553417_at	C11orf44
1553418_a_at	CNTNAP5
1553420_at	SATB2-AS1
1553422_s_at	RBFOX1
1553423_a_at	SLFN13
1553424_at	C12orf40
1553425_at	WDR65
1553426_at	C5orf64
1553427_at	ADAMTS15
1553428_at	LY86-AS1
1553429_at	FLJ31713
1553430_a_at	EDARADD
1553432_s_at	LOC101060424
1553432_s_at	LOC653786
1553432_s_at	OTOA
1553433_at	CCDC171
1553434_at	CYP4Z2P
1553435_at	C18orf15
1553436_at	MUC19
1553437_at	KLHDC7A
1553438_at	C11orf72
1553440_at	AQP4-AS1
1553441_at	CNTNAP4
1553442_a_at	CNTNAP4
1553443_at	FER1L6-AS1
1553444_a_at	C1orf127
1553446_at	LOC100996634
1553447_at	AGBL1
1553448_at	FLJ34503
1553449_at	LINC00304
1553450_s_at	LINC00304
1553451_at	CCDC79
1553452_at	MYO1H
1553453_at	ASB14
1553454_at	RPTN
1553457_at	LINC00269
1553458_at	VSTM4
1553459_at	CCDC150
1553460_at	C2orf61
1553461_at	FAM9B
1553464_at	FLJ40288
1553465_a_at	CES5A
1553466_at	CHDC2
1553467_at	DCAF8L2
1553467_at	FLJ32742
1553467_at	LOC101928481
1553468_at	HYDIN2
1553470_at	DNAH17
1553471_at	SLC35G3
1553472_at	FLJ32955
1553474_at	LOC100288966
1553478_at	KIRREL3-AS3
1553479_at	TMEM145
1553482_at	C15orf32
1553483_at	TSGA10IP
1553484_at	LINC00477
1553485_at	CCDC140
1553486_a_at	C17orf78
1553488_at	TEKT5
1553489_a_at	TEKT5
1553491_at	KSR2
1553492_a_at	PAX1
1553493_a_at	TDH
1553494_at	TDH
1553497_at	LINC00615
1553499_s_at	SERPINA9
1553500_at	FBXL21
1553502_a_at	AKAP2
1553502_a_at	PALM2
1553502_a_at	PALM2-AKAP2
1553504_at	MRGPRX4
1553505_at	A2ML1
1553506_at	CPO
1553507_a_at	GPR6
1553508_at	MDS2
1553510_s_at	RQCD1
1553511_at	GJD3
1553512_at	HOXC12
1553513_at	VNN3
1553514_a_at	VNN3
1553515_at	MYEOV2
1553517_at	FERD3L
1553518_at	DEFT1P
1553518_at	DEFT1P2
1553519_at	LINC00314
1553521_at	DEFB104A
1553521_at	DEFB104B
1553523_at	NLRP14
1553524_at	DGKB
1553525_at	NLRP13
1553526_at	NLRP8
1553527_at	NLRP9
1553528_a_at	TAF5
1553529_at	TAS1R2
1553530_a_at	ITGB1
1553531_at	PCSK6
1553532_a_at	ZNF341
1553533_at	JPH1
1553534_at	NLRP10
1553535_a_at	RANGAP1
1553536_at	MBNL2
1553537_at	KRT73
1553538_s_at	COX1
1553539_at	KRT74
1553540_a_at	SLC29A2
1553541_at	LMX1A
1553542_at	CCDC125
1553544_at	GPR101
1553545_at	ILDR1
1553549_at	VN1R2
1553550_at	VN1R5
1553551_s_at	ND2
1553552_at	TAAR8
1553553_at	TAS2R39
1553555_at	TAS2R38
1553556_at	TAS2R40
1553558_at	TAS2R41
1553559_at	TMEM171
1553560_at	VN1R4
1553561_at	TAS2R50
1553562_at	CD8B
1553562_at	LOC100996919
1553564_at	MACROD2
1553565_s_at	DDAH1
1553566_at	PIANP
1553567_s_at	ATP6
1553568_a_at	HIST1H1T
1553569_at	COX2
1553570_x_at	COX2
1553572_a_at	CYGB
1553573_s_at	EFNA2
1553574_at	IFNE
1553575_at	ND6
1553579_a_at	SPAG11A
1553579_a_at	SPAG11B
1553581_s_at	SREK1IP1
1553582_a_at	SPAG11A
1553582_a_at	SPAG11B
1553583_a_at	THRSP
1553584_at	CXorf36
1553585_a_at	MAGEA10-MAGEA5
1553585_a_at	MAGEA5
1553586_at	FBXL19-AS1
1553587_a_at	POLE4
1553588_at	ND3
1553588_at	SH3KBP1
1553589_a_at	PDZK1IP1
1553590_at	FAM27E2
1553590_at	FAM27E3
1553591_at	BCRP3
1553592_x_at	BCRP3
1553593_a_at	TAL2
1553594_a_at	INSL3
1553599_a_at	SYCP3
1553600_at	TMIE
1553601_a_at	TMIE
1553602_at	MUCL1
1553603_s_at	ATL2
1553604_at	ABCA13
1553605_a_at	ABCA13
1553607_at	BACH1
1553607_at	GRIK1-AS2
1553607_at	LINC00189
1553608_a_at	LINC00189
1553611_s_at	KLHL35
1553612_at	ZNF354B
1553613_s_at	FOXC1
1553614_a_at	FLJ25694
1553614_a_at	LOC101929344
1553618_at	TRIM43
1553618_at	TRIM43B
1553619_a_at	TRIM43
1553619_a_at	TRIM43B
1553620_at	TRIM42
1553622_a_at	FSIP1
1553623_at	MGC15705
1553625_at	FAM98B
1553626_a_at	EFCAB13
1553627_s_at	EFCAB13
1553629_a_at	FAM71B
1553630_at	C10orf107
1553633_s_at	LOC101929373
1553633_s_at	SLC9B1
1553634_a_at	WEE2-AS1
1553635_s_at	TCTEX1D1
1553636_at	TMCO5A
1553637_s_at	TMCO5A
1553639_a_at	PPARGC1B
1553640_at	XKR6
1553641_a_at	TSGA13
1553642_at	C9orf163
1553644_at	SYNE3
1553645_at	CCDC141
1553646_at	HDX
1553647_at	CDYL2
1553651_at	C18orf54
1553652_a_at	C18orf54
1553654_at	SYT14
1553655_at	CDC20B
1553656_at	TECTB
1553657_at	VWA3A
1553658_at	LINC00896
1553660_at	HUS1B
1553661_a_at	HUS1B
1553663_a_at	NPB
1553666_at	CCDC34
